Method,Dataset,MPJPE_root_hipmean(mm),PA-MPJPE(mm),MPJPE_abs(mm)
Baseline(32blocks),3DPW(test),N/A,N/A,N/A
Baseline(32blocks),H36M(val_p2),N/A,N/A,N/A
Trunc(k=8),3DPW(test),N/A,N/A,N/A
Trunc(k=8),H36M(val_p2),N/A,N/A,N/A
Trunc(k=12),3DPW(test),N/A,N/A,N/A
Trunc(k=12),H36M(val_p2),N/A,N/A,N/A
Trunc(k=16),3DPW(test),N/A,N/A,N/A
Trunc(k=16),H36M(val_p2),N/A,N/A,N/A
Trunc(k=20),3DPW(test),N/A,N/A,N/A
Trunc(k=20),H36M(val_p2),N/A,N/A,N/A
Trunc(k=24),3DPW(test),N/A,N/A,N/A
Trunc(k=24),H36M(val_p2),N/A,N/A,N/A
