layer,entropy,kti,erank
0,4.462815046310425,0.0009058962914423319,28.453264236450195
1,4.24646520614624,0.0035023747259401716,126.6887435913086
2,3.631133556365967,0.0018195071897935122,135.2690200805664
3,3.3358923196792603,0.0023509334023401607,130.6715850830078
4,3.7361907958984375,0.002221289098088164,98.4591064453125
5,2.9621039628982544,0.003299506577604916,135.66455078125
6,2.7853341102600098,0.004647301815566607,144.963134765625
7,2.529637336730957,0.00617320227320306,138.62027740478516
8,2.0391887426376343,0.006197806869749911,128.24819946289062
9,2.0408122539520264,0.0032075399794848636,109.11188125610352
10,1.8236896395683289,0.006094623080571182,112.38972473144531
11,2.2676860094070435,0.004138461154070683,102.34363174438477
12,2.2874892950057983,0.0043816926117870025,101.73778533935547
13,2.4486933946609497,0.0029188137341407128,87.12693786621094
14,2.5304324626922607,0.002401582016318571,90.70435333251953
15,2.4300400018692017,0.0025207051112374756,89.09587097167969
16,2.465569019317627,0.0022892302404216025,79.9083366394043
17,2.420802593231201,0.002367929380852729,89.69093322753906
18,2.473515272140503,0.0021364471249398775,85.49710083007812
19,2.4420785903930664,0.0022533879928232636,87.53520584106445
20,2.363469123840332,0.002145624443073757,83.7728385925293
21,2.4088923931121826,0.00209408312002779,91.41096878051758
22,2.4872931241989136,0.0017987324390560389,90.84722900390625
23,2.314489245414734,0.0016641272632114124,84.98417663574219
24,2.391927123069763,0.001825236849981593,82.93494415283203
25,2.3520127534866333,0.0015555960562778637,76.90143203735352
26,2.50872266292572,0.001568025709275389,83.01788330078125
27,2.3381019830703735,0.001565051446959842,76.51336669921875
28,2.420607089996338,0.001438071281882003,76.67183685302734
29,2.3572148084640503,0.0013727449586440343,72.99225616455078
30,2.4684388637542725,0.0013660000422532903,75.62139129638672
31,2.5290191173553467,0.0013856741607014555,80.24376678466797
