Group,Occlusion,MPJPE,PA-MPJPE
T2-KTI-Adaptive,0.1,86.28690411593064,57.49004186066073
Control,0.1,88.20420997519737,58.98246056023541
Control,0.3,92.3579578921138,61.534956527585365
Control,0.2,89.53617911394525,59.79988594605656
T2-KTI-Adaptive,0.2,88.15831976676682,58.63428723629169
T2-KTI-Adaptive,0.3,91.88592608576845,61.02894913524234
T2-A-H-Baseline,0.3,91.48119568511262,60.68548555407711
Control,0.4,91.78744538128376,62.523776061832905
T2-Static-Late,0.4,94.44337869435547,62.6278994306922
T2-A-S-Baseline,0.4,100.477117061615,66.67709492146969
T2-A-H-Baseline,0.4,98.47655910253523,66.93005725741386
T2-KTI-Adaptive,0.4,103.99318447709084,68.9011389799416
T2-Static-Mid,0.4,98.2834235981218,64.73745692114956
Control,0.5,118.1621448123266,74.21613809419057
T2-Static-Mid,0.5,128.1527687254406,78.71296979699817
T2-Static-Late,0.5,122.14422084036327,74.75261990986174
T2-A-S-Baseline,0.5,131.6556468237014,79.72241544155847
T2-A-H-Baseline,0.5,126.6820879512363,78.57388998024048
T2-KTI-Adaptive,0.5,129.55593149245732,79.32220479609474
T2-A-H-Baseline,0.0,107.47239217758178,73.59072031974793
T2-A-S-Baseline,0.0,107.60711317062378,73.38650012016296
T2-Static-Mid,0.0,88.62263631820679,62.53482036590576
T2-Static-Late,0.0,72.5696939945221,54.44219331741333
T2-KTI-Adaptive,0.0,107.4632719039917,73.58711786270142
Control,0.0,81.26833515927169,54.32582614527577
